year,region,species,survey_date,percent,non_cumul_prop,n
2017,DI,Chum,145,0.9416195856873822,0.9416195856873822,1
2017,DI,Chum,146,0.9416195856873822,0,1
2017,DI,Chum,149,2.9190207156308854,1.977401129943503,1
2017,DI,Chum,156,3.8606403013182673,0.9416195856873822,1
2017,DI,Chum,158,7.532956685499059,2.1657250470809792,2
2017,DI,Chum,163,13.145009416195856,3.7476459510357816,2
2017,DI,Chum,164,28.813559322033896,8.370998116760827,2
2017,DI,Chum,170,38.45574387947269,6.0263653483992465,1
2017,DI,Chum,171,42.975517890772124,4.519774011299435,1
2017,DI,Chum,177,49.472693032015066,3.813559322033898,2
2017,DI,Chum,179,60.67796610169491,10.07532956685499,1
2017,DI,Chum,185,97.62711864406779,36.94915254237288,1
2017,DI,Chum,186,100,2.3728813559322033,1
